Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,osm_id,highway,waterway,covered,depth_isempty,depth,blockage,aerialway,barrier,man_made,width_isempty,width,height,maxheight,layer_isempty,layer,sidewalk,tunnel,bridge,other_tags
Lumumba Street,,,,,,-1,-1,-1,,,25904042,tertiary,,,1,-1,,,,,1,-1,,,1,-1,,,,"""oneway""=>""yes"",""smoothness""=>""good"",""surface""=>""asphalt"""
Nyerere Road,,,,,,-1,-1,-1,,,25904044,primary,,,1,-1,,,,,1,-1,,,1,-1,,,,"""oneway""=>""yes"""
Mahiwa Street,,,,,,-1,-1,-1,,,25904045,residential,,,1,-1,,,,,0,3,,,1,-1,,,,"""smoothness""=>""intermediate"",""surface""=>""asphalt"""
Nelson Mandela Road,,,,,,-1,-1,-1,,,25920909,primary,,,1,-1,,,,,1,-1,,,1,-1,,,,"""oneway""=>""yes"",""smoothness""=>""good"",""surface""=>""asphalt"""
,,,,,,-1,-1,-1,,,25921508,primary,,,1,-1,,,,,1,-1,,,0,1,,,yes,
Morogoro Road,,,,,,-1,-1,-1,,,25921972,primary,,,1,-1,,,,,1,-1,,,1,-1,,,,"""oneway""=>""yes"",""ref""=>""T1"""
Ali Hassan Mwinyi Road,,,,,,-1,-1,-1,,,25928636,primary,,,1,-1,,,,,0,8,,,1,-1,,,,"""lanes""=>""2"",""oneway""=>""yes"",""smoothness""=>""intermediate"",""surface""=>""asphalt"""
Kinondoni Road,,,,,,-1,-1,-1,,,25928639,tertiary,,,1,-1,,,,,0,8,,,1,-1,,,,"""smoothness""=>""intermediate"",""surface""=>""paved"""
,,,,,,-1,-1,-1,,,25928640,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,25928641,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
Selander Bridge,,,,,,-1,-1,-1,,,25928642,primary,,,1,-1,,,,,1,-1,,,0,1,,,yes,"""oneway""=>""yes"""
Ali Hassan Mwinyi Road,,,,,,-1,-1,-1,,,25928643,primary,,,1,-1,,,,,1,-1,,,1,-1,,,,"""oneway""=>""yes"""
,,,,,,-1,-1,-1,,,25928644,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,"""surface""=>""paved"""
Alykhan Road,,,,,,-1,-1,-1,,,25928645,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
Olimpiyo St.,,,,,,-1,-1,-1,,,25929003,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
Lumumba Street,,,,,,-1,-1,-1,,,25929005,tertiary,,,1,-1,,,,,1,-1,,,1,-1,,,,"""oneway""=>""yes"",""surface""=>""paved"""
,,,,,,-1,-1,-1,,,25929006,unclassified,,,1,-1,,,,,1,-1,,,1,-1,,,,"""oneway""=>""yes"""
,,,,,,-1,-1,-1,,,25929007,unclassified,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,25929008,tertiary_link,,,1,-1,,,,,1,-1,,,1,-1,,,,
Uhuru Street,,,,,,-1,-1,-1,,,25929010,tertiary,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,25929011,secondary,,,1,-1,,,,,1,-1,,,1,-1,,,,"""oneway""=>""yes"""
Morogoro Road,,,,,,-1,-1,-1,,,25929012,primary,,,1,-1,,,,,1,-1,,,1,-1,,,,"""access""=>""no"",""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""oneway""=>""yes"",""ref""=>""T1"",""surface""=>""concrete:lanes"""
Msimbazi Street,,,,,,-1,-1,-1,,,25929014,tertiary,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,25929015,,canal,,1,-1,,,,,1,-1,,,1,-1,,,,
Midizini Road,,,,,,-1,-1,-1,,,25929017,unclassified,,,1,-1,,,,,0,7,,,1,-1,,,,"""smoothness""=>""intermediate"",""surface""=>""asphalt"""
Kagera Road,,,,,,-1,-1,-1,,,25929018,tertiary,,,1,-1,,,,,1,-1,,,1,-1,,,,"""surface""=>""asphalt"""
,,,,,,-1,-1,-1,,,25929019,primary,,,1,-1,,,,,1,-1,,,0,1,,,yes,"""ref""=>""T1"",""oneway""=>""yes"""
Morogoro Road,,,,,,-1,-1,-1,,,25929020,primary,,,1,-1,,,,,1,-1,,,1,-1,,,,"""ref""=>""T1"",""oneway""=>""yes"""
